onset	duration	trial_type	stim_file	stim_name	loop_duration	block_nb	trial_nb	target	key_name
49.066152	0.841246	n/a	SYLF2beuman.wav	n/a	n/a	n/a	n/a	n/a	n/a
49.919241	0.761907	n/a	SYLM1dafe.wav	n/a	n/a	n/a	n/a	n/a	n/a
50.692472	0.660767	n/a	SYLF1panre3.wav	n/a	n/a	n/a	n/a	n/a	n/a
51.363455	0.731545	n/a	SYLM2re3chon.wav	n/a	n/a	n/a	n/a	n/a	n/a
52.106759	0.616033	n/a	SYLF1dapon.wav	n/a	n/a	n/a	n/a	n/a	n/a
52.730354	0.839653	n/a	SYLM2jonmi.wav	n/a	n/a	n/a	n/a	n/a	n/a
53.585907	0.807936	n/a	SYLM1gueume2.wav	n/a	n/a	n/a	n/a	n/a	n/a
54.404062	0.707566	n/a	SYLF1keva.wav	n/a	n/a	n/a	n/a	n/a	n/a
55.129908	0.850825	n/a	SYLM2zare.wav	n/a	n/a	n/a	n/a	n/a	n/a
55.990455	0.738849	n/a	SYLF2time2.wav	n/a	n/a	n/a	n/a	n/a	n/a
56.738746	0.839549	n/a	SYLM1releu.wav	n/a	n/a	n/a	n/a	n/a	n/a
57.589337	0.714457	n/a	SYLM2beran.wav	n/a	n/a	n/a	n/a	n/a	n/a
58.315184	0.684398	n/a	SYLM1keje2.wav	n/a	n/a	n/a	n/a	n/a	n/a
59.013613	0.871023	n/a	SCRM2ve3fi.wav	n/a	n/a	n/a	n/a	n/a	n/a
59.896606	0.736263	n/a	SCRM1zague.wav	n/a	n/a	n/a	n/a	n/a	n/a
60.642421	0.756578	n/a	SCRM2dinzon.wav	n/a	n/a	n/a	n/a	n/a	n/a
61.410658	0.649499	n/a	SCRM1ke2pan.wav	n/a	n/a	n/a	n/a	n/a	n/a
62.069159	0.675086	n/a	SCRF1ke2lo.wav	n/a	n/a	n/a	n/a	n/a	n/a
62.752603	0.841682	n/a	SCRM1chonre3.wav	n/a	n/a	n/a	n/a	n/a	n/a
63.605670	0.699558	n/a	SCRM2teuzou.wav	n/a	n/a	n/a	n/a	n/a	n/a
64.314071	0.692623	n/a	SCRM1be3pe.wav	n/a	n/a	n/a	n/a	n/a	n/a
65.017478	0.823502	n/a	SCRF2bena.wav	n/a	n/a	n/a	n/a	n/a	n/a
65.853075	0.812713	n/a	SCRM1zanfo.wav	n/a	n/a	n/a	n/a	n/a	n/a
66.676224	0.797171	n/a	SCRM2nanreu.wav	n/a	n/a	n/a	n/a	n/a	n/a
67.484369	0.738840	n/a	SCRF2time2.wav	n/a	n/a	n/a	n/a	n/a	n/a
68.232666	0.739759	n/a	SCRF1zongue.wav	n/a	n/a	n/a	n/a	n/a	n/a
68.983463	0.839993	n/a	SCRM1guinjo.wav	n/a	n/a	n/a	n/a	n/a	n/a
69.834028	0.738746	n/a	SCRF1zanjon.wav	n/a	n/a	n/a	n/a	n/a	n/a
70.582347	0.777918	n/a	SYLM2vane3.wav	n/a	n/a	n/a	n/a	n/a	n/a
71.368053	0.818455	n/a	SYLF2fudi.wav	n/a	n/a	n/a	n/a	n/a	n/a
72.196185	0.737881	n/a	SYLM2ze2da.wav	n/a	n/a	n/a	n/a	n/a	n/a
72.941991	0.823514	n/a	SYLF2bena.wav	n/a	n/a	n/a	n/a	n/a	n/a
73.777595	0.841688	n/a	SYLM1chonre3.wav	n/a	n/a	n/a	n/a	n/a	n/a
