onset	duration	trial_type	stim_file	stim_name	loop_duration	block_nb	trial_nb	target	key_name
0.013847	0.818428	n/a	SYLF2fudi.wav	n/a	n/a	n/a	n/a	n/a	n/a
0.841959	0.682351	n/a	SYLF1pefu.wav	n/a	n/a	n/a	n/a	n/a	n/a
1.535391	0.730128	n/a	SYLF2tofi.wav	n/a	n/a	n/a	n/a	n/a	n/a
2.276204	0.854400	n/a	SYLF1ze2jin.wav	n/a	n/a	n/a	n/a	n/a	n/a
3.141751	0.737846	n/a	SYLM2ze2da.wav	n/a	n/a	n/a	n/a	n/a	n/a
3.887547	0.678335	n/a	SYLM1kinjon.wav	n/a	n/a	n/a	n/a	n/a	n/a
4.575979	0.845086	n/a	SYLF2rebe3.wav	n/a	n/a	n/a	n/a	n/a	n/a
5.431553	0.796985	n/a	SYLF1guinleu.wav	n/a	n/a	n/a	n/a	n/a	n/a
6.237213	0.827043	n/a	SYLM1meuzu.wav	n/a	n/a	n/a	n/a	n/a	n/a
7.072805	0.881911	n/a	SYLF2vonche3.wav	n/a	n/a	n/a	n/a	n/a	n/a
7.965805	0.686171	n/a	SYLM2tozan.wav	n/a	n/a	n/a	n/a	n/a	n/a
8.661709	0.809709	n/a	SYLM1lojin.wav	n/a	n/a	n/a	n/a	n/a	n/a
9.482357	0.840504	n/a	SYLF1fimu.wav	n/a	n/a	n/a	n/a	n/a	n/a
10.330438	0.839517	n/a	SYLM1releu.wav	n/a	n/a	n/a	n/a	n/a	n/a
11.181000	0.800737	n/a	SYLM2me2chu.wav	n/a	n/a	n/a	n/a	n/a	n/a
17.995551	0.841204	n/a	SCRF2beuman.wav	n/a	n/a	n/a	n/a	n/a	n/a
18.846121	0.668684	n/a	SCRM1jane3.wav	n/a	n/a	n/a	n/a	n/a	n/a
19.527049	0.616066	n/a	SCRF1dapon.wav	n/a	n/a	n/a	n/a	n/a	n/a
20.153143	0.707171	n/a	SCRF2jazou.wav	n/a	n/a	n/a	n/a	n/a	n/a
20.869008	0.731544	n/a	SCRM2re3chon.wav	n/a	n/a	n/a	n/a	n/a	n/a
21.612329	0.731459	n/a	SCRF1ne3mi.wav	n/a	n/a	n/a	n/a	n/a	n/a
22.355628	0.839696	n/a	SCRM2jonmi.wav	n/a	n/a	n/a	n/a	n/a	n/a
23.203709	0.816739	n/a	SCRF1fenan.wav	n/a	n/a	n/a	n/a	n/a	n/a
24.031823	0.829787	n/a	SCRF2linji.wav	n/a	n/a	n/a	n/a	n/a	n/a
24.869943	0.806945	n/a	SCRM1churan.wav	n/a	n/a	n/a	n/a	n/a	n/a
25.685601	0.663988	n/a	SCRM2ponna.wav	n/a	n/a	n/a	n/a	n/a	n/a
26.359054	0.679879	n/a	SCRM1manchi.wav	n/a	n/a	n/a	n/a	n/a	n/a
27.049991	0.809105	n/a	SCRM2vonchin.wav	n/a	n/a	n/a	n/a	n/a	n/a
27.870624	0.785602	n/a	SCRF2mudin.wav	n/a	n/a	n/a	n/a	n/a	n/a
28.666334	0.768618	n/a	SCRF1ve3gu.wav	n/a	n/a	n/a	n/a	n/a	n/a
35.458419	0.777913	n/a	SYLM2vane3.wav	n/a	n/a	n/a	n/a	n/a	n/a
36.246618	0.818434	n/a	SYLF2fudi.wav	n/a	n/a	n/a	n/a	n/a	n/a
37.077257	0.737867	n/a	SYLM2ze2da.wav	n/a	n/a	n/a	n/a	n/a	n/a
37.825541	0.823522	n/a	SYLF2bena.wav	n/a	n/a	n/a	n/a	n/a	n/a
38.658665	0.841671	n/a	SYLM1chonre3.wav	n/a	n/a	n/a	n/a	n/a	n/a
39.509234	0.699547	n/a	SYLM2teuzou.wav	n/a	n/a	n/a	n/a	n/a	n/a
40.220104	0.827051	n/a	SYLM1meuzu.wav	n/a	n/a	n/a	n/a	n/a	n/a
41.058198	0.892915	n/a	SYLF2vechon.wav	n/a	n/a	n/a	n/a	n/a	n/a
41.961149	0.871062	n/a	SYLM2ve3fi.wav	n/a	n/a	n/a	n/a	n/a	n/a
42.841662	0.756279	n/a	SYLM1zoureu.wav	n/a	n/a	n/a	n/a	n/a	n/a
43.609922	0.809087	n/a	SYLM2vonchin.wav	n/a	n/a	n/a	n/a	n/a	n/a
44.430552	0.881897	n/a	SYLF2vonche3.wav	n/a	n/a	n/a	n/a	n/a	n/a
45.321036	0.854406	n/a	SYLF1ze2jin.wav	n/a	n/a	n/a	n/a	n/a	n/a
46.186567	0.758554	n/a	SYLF2zudi.wav	n/a	n/a	n/a	n/a	n/a	n/a
46.954824	0.728812	n/a	SYLM1zague.wav	n/a	n/a	n/a	n/a	n/a	n/a
53.697030	0.818443	n/a	SCRF2fudi.wav	n/a	n/a	n/a	n/a	n/a	n/a
54.525142	0.682357	n/a	SCRF1pefu.wav	n/a	n/a	n/a	n/a	n/a	n/a
